2theta,Experimental
48.527,283.41
48.5469,251.18
48.5668,324.92
48.5868,223.93
48.6067,305.44
48.6267,307.11
48.6466,291.91
48.6665,316.15
48.6865,357.37
48.7064,376.03
48.7264,301.82
48.7463,347.48
48.7663,306.39
48.7862,314.71
48.8061,297.59
48.8261,251.41
48.846,293.61
48.866,315.74
48.8859,342.1
48.9059,315.08
48.9258,301.25
48.9457,209.1
48.9657,276.04
48.9856,334.55
49.0056,377.74
49.0255,256.24
49.0454,333.3
49.0654,398.89
49.0853,346.43
49.1053,344.63
49.1252,296.43
49.1452,313.7
49.1651,333.96
49.185,422.03
49.205,407.08
49.2249,317.8
49.2449,363.42
49.2648,399.87
49.2847,287.25
49.3047,356.14
49.3246,267.98
49.3446,360.94
49.3645,293.61
49.3845,338.06
49.4044,228.55
49.4243,381.77
49.4443,424.7
49.4642,395.57
49.4842,402.6
49.5041,401.07
49.5241,412.81
49.544,294.31
49.5639,296.95
49.5839,252.8
49.6038,443.98
49.6238,495.66
49.6437,510.76
49.6636,431.53
49.6836,451.6
49.7035,451.08
49.7235,403.5
49.7434,452.09
49.7634,500.55
49.7833,569.74
49.8032,580.74
49.8232,417.5
49.8431,411.97
49.8631,534.46
49.883,486.91
49.9029,509.02
49.9229,635.26
49.9428,659.47
49.9628,603.71
49.9827,635.11
50.0027,485.38
50.0226,461.23
50.0425,584.13
50.0625,594.83
50.0824,526.86
50.1024,593.7
50.1223,596.19
50.1423,591.62
50.1622,624.11
50.1821,654.92
50.2021,671.56
50.222,689.13
50.242,733.81
50.2619,807.59
50.2818,795.98
50.3018,829.95
50.3217,846.67
50.3417,862.3
50.3616,893.29
50.3816,1004.76
50.4015,948.35
50.4214,1078.12
50.4414,1067.27
50.4613,1181.27
50.4813,1191.2
50.5012,1322.54
50.5211,1321.82
50.5411,1360.7
50.561,1432.87
50.581,1595.58
50.6009,1629.11
50.6209,1789.93
50.6408,1836.35
50.6607,1770.51
50.6807,2003.05
50.7006,2038.44
50.7206,2162.77
50.7405,2315.21
50.7605,2504.82
50.7804,2444.24
50.8003,2670.19
50.8203,2639.26
50.8402,2717.98
50.8602,2769.6
50.8801,2664.41
50.9,2533.52
50.92,2806.44
50.9399,2820.92
50.9599,2554.61
50.9798,2476.91
50.9998,2483.51
51.0197,2435.3
51.0396,2189.17
51.0596,2031.83
51.0795,1828.67
51.0995,1862.04
51.1194,1708.47
51.1393,1529.42
51.1593,1503.54
51.1792,1291.79
51.1992,1265.33
51.2191,1130.74
51.2391,930.68
51.259,882.44
51.2789,887.27
51.2989,952.35
51.3188,728.44
51.3388,699.82
51.3587,659.18
51.3787,615.34
51.3986,580.29
51.4185,674.44
51.4385,587.07
51.4584,630.41
51.4784,642.13
51.4983,530.3
51.5182,541
51.5382,436.37
51.5581,530
51.5781,506.75
51.598,417.45
51.618,480.73
51.6379,420.11
51.6578,293.5
51.6778,432.31
51.6977,467.37
51.7177,457.14
51.7376,301.94
51.7575,391.1
51.7775,330.08
51.7974,378.81
51.8174,262.46
51.8373,349.5
51.8573,367.05
51.8772,352.56
51.8971,349.39
51.9171,346.8
51.937,367.73
51.957,284.53
51.9769,320.51
51.9969,244.41
52.0168,299.1
52.0367,280.07
52.0567,344.2
52.0766,335.53
52.0966,354.77
52.1165,358.31
52.1364,395.25
52.1564,373.72
52.1763,258.73
52.1963,299.29
52.2162,315.2
52.2362,323.98
52.2561,350.32
52.276,345.92
52.296,239.94
52.3159,316.03
52.3359,267.73
52.3558,306.31
52.3758,254.46
52.3957,244.14
52.4156,364.94
52.4356,315.52
52.4555,349.55
52.4755,247.82
52.4954,274.1
52.5153,292.2
52.5353,272.26
52.5552,266.84
52.5752,255.35
52.5951,170.15
52.6151,233.3
52.635,213.22
52.6549,306.49
